platform,post_title,engagement_score
PTT home-sale,[新聞] 打房打過頭？央行放寬第2戶貸款成數　楊,57
PTT home-sale,[請益] 銀行房貸收入認列疑問,56
PTT home-sale,[閒聊] 為何買房就不能買股,56
PTT home-sale,[新聞] 房市急凍建商連環倒？楊金龍：業者讓利交,56
PTT CareerPlan,[討論] 宅男的退休生活閒聊 (2024下),56
PTT home-sale,[心得] 一千萬房子賣掉剩下十幾萬~謄本沒寫的事!,55
PTT CareerPlan,[討論] 宅男的退休生活閒聊 (2026上),55
PTT home-sale,Re: [新聞] 房市急凍建商連環倒？楊金龍：業者讓利交,55
PTT BabyMother,[寶寶] 目前1歲七個月只會說爸爸媽媽,54
PTT BabyMother,[寶寶] 產後無後援另一半如何協助問題,54
PTT BabyMother,[寶寶] 小孩共玩的文化衝擊,53
PTT BabyMother,[寶寶] 生完小孩就送走繼續生再送是為何,53
PTT BabyMother,[命名] 女馬寶取名請益（劉）,52
PTT BabyMother,[寶寶] 請問獨自開車帶小孩長距離移動,52
PTT home-sale,[閒聊] 這兩年房價生育走勢是否證明兩者無關係？,51
PTT BabyMother,[懷孕] 試管NIPS與羊穿選擇,51
PTT BabyMother,好像覺得有點對不起公婆,50
PTT home-sale,[閒聊] 房子是不是比較能證明財力,50
PTT home-sale,[閒聊] 房市風向球愛莉莎莎近期從杜拜返台購買,50
PTT BabyMother,幼稚園的選擇請益,49
PTT BabyMother,[寶寶] 3歲還是4歲去上幼兒園,49
PTT home-sale,[請益] 主委賣房子了怎麼辦？,48
PTT BabyMother,[反推] HABABY 環安家居 幼兒床 兒童床,47
PTT BabyMother,[請益] 2歲該選小行星/康軒/小小牛頓?,47
PTT BabyMother,[心得] 台灣的育兒政策好難推行啊！,47
PTT BabyMother,[心得] 異卵雙胞胎中大週數減胎平安生產,47
PTT home-sale,[新聞] 綠委驚爆嘉義CoWoS第三座廠已動土！台,46
PTT home-sale,[新聞]央行連八凍 藏鷹爪！突釋緊縮訊號 6月升,46
PTT home-sale,Re: [閒聊] 房價下跌就交的到女友嗎？,46
PTT CareerPlan,[問題] 該怎麼找到下一個值得追求的人生目標?,46
PTT home-sale,[新聞] 近半民眾感受房價下跌 57%認為央行該鬆,45
PTT CareerPlan,[討論] 宅男的退休生活閒聊(遠東王),44
PTT home-sale,[閒聊] 年輕人在公司的底氣來自家裡有房繼承？,43
PTT home-sale,Re: [新聞] 吳淡如認了很早放棄日本長居權,43
PTT home-sale,[閒聊] 跌了，生育率也崩了,43
PTT BabyMother,[寶寶] 寶寶發炎指數9住院,43
PTT BabyMother,Re: [寶寶] 新生兒先天性甲狀腺低能症疑陽性,42
PTT CareerPlan,Re: [猶豫] 該重考醫學系嗎？,42
PTT home-sale,[新聞] 藍白共推政策藍圖  聚焦人口危機、高房價,42
PTT BabyMother,Re: [寶寶] 媽媽們多久會揭露聖誕老人的真相呢,41
PTT home-sale,[閒聊] 遇到裝有房的人該怎麼辦,40
PTT BabyMother,[命名] 女蛇寶取名請益（葉）,40
PTT home-sale,Re: [新聞] 房市急凍建商連環倒？楊金龍：業者讓利交,39
PTT home-sale,[新聞] 新青安2.0四方向定調 利率水準至少2.3%,39
PTT BabyMother,［請益］小孩持續嘔吐找不到原因,39
PTT BabyMother,[寶寶] 蛋白質比例較高的寶寶粥?(5倍粥/副食品),39
PTT CareerPlan,[請益] 42歲職涯規劃,39
PTT home-sale,[新聞] 房市現死亡交叉！2025預售屋銷慘剩3成,39
PTT BabyMother,[寶寶] 大寶上學時機點選擇,39
PTT home-sale,Re: [新聞] 新青安2.0來了？1／新青安改版方案曝 為,38
PTT BabyMother,滿3歲就強制要求戒尿布,38
PTT home-sale,[新聞] 房市變天！七都房價反轉跌4.75%,38
PTT BabyMother,[月嫂] 與月嫂的溝通,37
PTT BabyMother,[寶寶] 帶兩個小孩去市場怎麼顧比較好？,37
PTT home-sale,[閒聊] 現在高雄最有潛力的地方就是仁武了吧,37
PTT home-sale,[情報] 在小港花一千萬購買預售屋，建商未經同意縮小窗戶，只願意,36
PTT BabyMother,Re: [請益] 大家對代孕的看法？,36
PTT BabyMother,[請益] 住院，猶豫是否該退奶,36
PTT BabyMother,[懷孕] 女蛇寶名字請益(施),36
PTT home-sale,[閒聊] 楊金龍為什麼不叫全台灣中古屋主讓利？,35
PTT home-sale,[請益] 有人知道現有的新青安客戶八月後會怎麼樣,35
PTT home-sale,[閒聊] 預售屋總價灌水新套路，你看過了嗎？（文,35
PTT home-sale,Re: [閒聊] 強制開發票跟房市低迷有關吧,35
PTT home-sale,[新聞] 央行房市信用管制 金融業：下半年有望適,34
PTT home-sale,[閒聊] 少子化 學區宅還能投資嗎,34
PTT BabyMother,女蛇寶姓名請益(余),34
PTT BabyMother,Re: [寶寶] 適合0歲以上聽的20張古典音樂專輯,34
PTT home-sale,[新聞] 科學園區房價急跌轉盤整 南科台南園區連,33
PTT BabyMother,[心得] 分享孩子看的書,33
PTT CareerPlan,Re: [問題] 40歲以後 在家裡要做甚麼?,33
PTT BabyMother,幼兒園通勤時間請教,33
PTT BabyMother,[心得]分享我女兒崩潰、爆哭、歇斯底里的原因,33
PTT home-sale,Re: [新聞] 吳淡如認了很早放棄日本長居權,33
PTT home-sale,[閒聊] AI讓年輕人看到別種可能,33
PTT home-sale,Re: [閒聊] 第二屋五成變六成,33
PTT BabyMother,[心得] 避雷分享-令人失望的 Nac Nac 消毒鍋,32
PTT CareerPlan,[討論] 資產3000萬 可以退休嗎,32
PTT BabyMother,[寶寶] 一個半月寶寶變得愛哭,32
PTT CareerPlan,[問題] 休學重考/在學重考/後醫？,32
PTT BabyMother,[寶寶] 三歲半半夜習慣起床上廁所,32
PTT home-sale,[新聞] 推案量腰斬房價會跌嗎?大老直言:土地營,32
PTT home-sale,2026房價走勢分析起漲點不喜勿入,32
PTT BabyMother,Re: [請益] 大家對代孕的看法？,31
PTT BabyMother,怎麼帶兒童腳踏車去附近小學較省力？,31
PTT home-sale,[新聞] 30年後誰來買房？房市恐迎大洗牌,31
PTT home-sale,[請益] 青埔、a7、桃站比較？,31
PTT BabyMother,[心得] 怎麼會這麼累,31
PTT home-sale,[閒聊] 強制開發票跟房市低迷有關吧,31
PTT BabyMother,Re: [懷孕] 16週就開始宮縮,31
PTT BabyMother,[寶寶] 自動泡奶機值得買嗎,30
PTT home-sale,[閒聊] 這就是人生,30
PTT home-sale,[情報] 信義2026年2月大台北房價指數,30
PTT BabyMother,女蛇寶命名請益（李）,30
PTT BabyMother,[懷孕] 生育補助是給誰的？,30
PTT home-sale,[心得] 五成靠邀~六成也靠邀~~怎樣都有話說,29
PTT BabyMother,[寶寶] 10m還不會用吸管杯喝水,29
PTT BabyMother,[寶寶] 台北火車站附近適合帶寶寶的餐廳,29
PTT home-sale,Re: [新聞] 新青安2.0來了？1／新青安改版方案曝 為,29
PTT BabyMother,Re: [心得] 自責太晚啟動早療，黃金期最好不要錯過,29
PTT BabyMother,[寶寶] 男馬寶命名請益（韓）,29
PTT home-sale,[新聞] 杜拜房市慘烈崩盤！歐洲大戶砍價50％逃,29
PTT home-sale,Re: [新聞] 楊金龍呼籲建商讓利 不希望見到房市硬著,29
PTT home-sale,[閒聊] 多一成 能嗨成這樣？投客有多窮？,29
PTT BabyMother,[心得] 高齡流產後順利生產，心得分享 贈送,28
PTT home-sale,Re: [閒聊] 年輕人及其家庭還有多少資源可壓榨？,28
PTT CareerPlan,[請益] 面臨家中長輩照護問題,28
PTT home-sale,[閒聊] 為什麼只有看多才是焦慮,28
PTT home-sale,[閒聊] 數位窗戶有搞頭嗎,28
PTT BabyMother,[生產] 癒合慢的會陰傷口,28
PTT home-sale,Re: [情報] 杜拜房子現在100%是買點,27
PTT home-sale,[請益] 出斡旋被拒請益，一年均價買房疑慮,27
PTT home-sale,Re: [新聞] 白手起家千萬富翁：租房取代買房「是我,27
PTT BabyMother,[懷孕] 這樣是懷孕嗎？,27
PTT BabyMother,[請益] 送托嬰中心，大家會在意甚麼？,27
PTT home-sale,[新聞] 劉怡萱賣借名登記豪宅「想套現8千萬」難,27
PTT BabyMother,[寶寶] 關於夜晚鼻塞型的鼻過敏,27
PTT home-sale,[新聞] 建設等太久？ 三峽、鶯歌房價回跌 三鶯線,26
PTT home-sale,[閒聊] 租屋詐騙(房仲聯合租屋蟑螂),26
PTT home-sale,[賣/新竹/竹北]高鐵遠雄鉑悅1房平車,26
PTT home-sale,Re: [閒聊] 人人都能念國立大學還需要搶學區宅?!,26
PTT BabyMother,小孩都不收拾東西求救,26
PTT BabyMother,[寶寶] 上學的路有多遠？我們家走了四個月,26
PTT BabyMother,[寶寶] 寶寶討厭共讀,26
PTT BabyMother,日光手感質感詢問,26
PTT BabyMother,[寶寶] 新生兒床上沒淨空,26
PTT BabyMother,[請益] 配方奶轉保久乳,26
PTT BabyMother,媽媽得皮蛇，需要隔離嗎？,25
PTT BabyMother,[請益] 桃園在宅保姆的收費,25
PTT home-sale,Re: [心得] A7 第七波後,25
PTT home-sale,[閒聊] 遲了一年又5個月的新家分享,25
PTT BabyMother,[寶寶] 請問可以帶去飯店玩的玩具,25
PTT CareerPlan,[討論] 大家有開始考慮退休生活了嗎??,25
PTT BabyMother,[心得] 原來在Podcast上面說故事的爸爸這麼少?,25
PTT CareerPlan,[問題] 公務員的下一步,25
PTT home-sale,Re: [新聞] 新青安2.0來了？1／新青安改版方案曝 為,24
PTT BabyMother,[寶寶] 幼兒學英文的時機,24
PTT CareerPlan,[問題] 幫我問我未婚夫該怎麼找出路,24
PTT CareerPlan,Re: [請益] 25歲想考大學資工系,24
PTT home-sale,[新聞] 房客輕生變凶宅 代管公司慘賠211萬,24
PTT home-sale,[新聞] 保時捷房東一次漲6000元，他崩潰了,24
PTT home-sale,Re: [閒聊] 遇到裝有房的人該怎麼辦,24
PTT home-sale,[閒聊] 買便宜農地再蓋組合屋..是好選擇嗎??,24
PTT home-sale,[請益] 遠雄幸福成 入手不？,24
PTT home-sale,[閒聊] 地主戶太多的缺點,24
PTT BabyMother,[命名] 女馬寶寶姓名請益（林）,24
PTT CareerPlan,[請益] 大學科系選擇,24
PTT CareerPlan,[問題] 想找獨立完成、時間自由、未來有8萬工作,24
PTT BabyMother,［新聞] 雀巢奶粉疑遭仙人掌桿菌污染 2批下架,23
PTT BabyMother,有了養成椅但還想買Stokke餐椅,23
PTT BabyMother,[遊戲] 自製給小孩的「行為獎勵抽卡程式」網頁,23
PTT CareerPlan,[請益] 這裡有過著躺平人生的嗎？,23
PTT home-sale,[閒聊] 提早斷頭的是不是很可惜啊,23
PTT home-sale,Re: [閒聊] 年輕人及其家庭還有多少資源可壓榨？,23
PTT home-sale,[閒聊] 桃園城心one透天，這格局太硬了吧？,23
PTT BabyMother,3歲9個月，大號需要包尿布才大的出來,23
PTT BabyMother,[寶寶] 三歲小孩睡眠時間請益,23
PTT CareerPlan,[討論] 退休週年紀念,23
PTT home-sale,[心得] 只出張嘴的~不會負責你的人生,22
PTT home-sale,"[閒聊] 買鄉下便宜房再買好車,是好選擇嗎?",22
PTT home-sale,[請益] 新手賣房請益服務費及委託書,22
PTT CareerPlan,[猶豫] 30歲了還要再拼牙醫嗎？,22
PTT BabyMother,[寶寶] 二手提籃，會影響寶寶皮膚嗎？,22
PTT home-sale,Re: [新聞] 新青安2.0來了？1／新青安改版方案曝 為,22
PTT home-sale,[新聞] 屋主欠債連累墾丁地中海民宿　月底3781萬,22
PTT CareerPlan,[討論] 大陸旅居FIRE生活可行性(買租房篇),22
PTT home-sale,[請益] 置產外勞集中區域是不是最穩,21
PTT home-sale,[新聞] 楊金龍呼籲建商讓利 不希望見到房市硬著,21
PTT home-sale,[請益]為何沒人幫央行龍哥得到打房後獲得的結果?,21
PTT home-sale,Re: [閒聊] 空頭已成共識 區域抗跌才需關注,21
PTT home-sale,[閒聊] 日月光楠梓 三期動土  楠梓漢是不是穩了,21
PTT BabyMother,請問大家都何時讓同事知道自己懷孕,21
PTT BabyMother,[寶寶] 成長椅怎麼挑？（內有選手）,21
PTT CareerPlan,[問題] 人生的專業努力方向,21
PTT BabyMother,[寶寶] 新生兒體重下降,21
PTT CareerPlan,[建議] 下個月30歲了求人生方向,21
PTT CareerPlan,[政見]  DREAMFF 參戰,21
